Product Name,Region,AQ Min (kWh),AQ Max (kWh),Contract Length (months),Valid from,Valid to,p/kWh
12SW1B16360 Start Month 5 - 1 Year,SW1,250001,293000,12,01/03/2020,28/02/2021,2.788359
12SW1B16360 Start Month 5 - 2 Year,SW1,250001,293000,24,01/03/2020,28/02/2022,2.816673
12SW1B16360 Start Month 5 - 3 Year,SW1,250001,293000,36,01/03/2020,28/02/2023,2.830645
12SW1B16360 Start Month 5 - 4 Year,SW1,250001,293000,48,01/03/2020,29/02/2024,2.852596
12SW1B16360 Start Month 5 - 5 Year,SW1,250001,293000,60,01/03/2020,28/02/2025,2.857317
12SW1B16360 Start Month 6 - 1 Year,SW1,250001,293000,12,01/04/2020,31/03/2021,2.818394
12SW1B16360 Start Month 6 - 2 Year,SW1,250001,293000,24,01/04/2020,31/03/2022,2.831861
12SW1B16360 Start Month 6 - 3 Year,SW1,250001,293000,36,01/04/2020,31/03/2023,2.841995
12SW1B16360 Start Month 6 - 4 Year,SW1,250001,293000,48,01/04/2020,31/03/2024,2.865085
12SW1B16360 Start Month 6 - 5 Year,SW1,250001,293000,60,01/04/2020,31/03/2025,2.867612
12SW1B16360 Start Month 7 - 1 Year,SW1,250001,293000,12,01/05/2020,30/04/2021,2.827007
12SW1B16360 Start Month 7 - 2 Year,SW1,250001,293000,24,01/05/2020,30/04/2022,2.836434
12SW1B16360 Start Month 7 - 3 Year,SW1,250001,293000,36,01/05/2020,30/04/2023,2.84576
12SW1B16360 Start Month 7 - 4 Year,SW1,250001,293000,48,01/05/2020,30/04/2024,2.86886
12SW1B16360 Start Month 7 - 5 Year,SW1,250001,293000,60,01/05/2020,30/04/2025,2.857917
12SW1B16360 Start Month 8 - 1 Year,SW1,250001,293000,12,01/06/2020,31/05/2021,2.830277
12SW1B16360 Start Month 8 - 2 Year,SW1,250001,293000,24,01/06/2020,31/05/2022,2.838593
12SW1B16360 Start Month 8 - 3 Year,SW1,250001,293000,36,01/06/2020,31/05/2023,2.84927
12SW1B16360 Start Month 8 - 4 Year,SW1,250001,293000,48,01/06/2020,31/05/2024,2.87236
12SW1B16360 Start Month 8 - 5 Year,SW1,250001,293000,60,01/06/2020,31/05/2025,2.847111
12SW1B16360 Start Month 9 - 1 Year,SW1,250001,293000,12,01/07/2020,30/06/2021,2.834658
12SW1B16360 Start Month 9 - 2 Year,SW1,250001,293000,24,01/07/2020,30/06/2022,2.842295
12SW1B16360 Start Month 9 - 3 Year,SW1,250001,293000,36,01/07/2020,30/06/2023,2.851722
12SW1B16360 Start Month 9 - 4 Year,SW1,250001,293000,48,01/07/2020,30/06/2024,2.861215
12SW1B16360 Start Month 9 - 5 Year,SW1,250001,293000,60,01/07/2020,30/06/2025,2.825526
12SW2B16360 Start Month 1 - 1 Year,SW2,250001,293000,12,01/11/2019,31/10/2020,2.743251
12SW2B16360 Start Month 1 - 2 Year,SW2,250001,293000,24,01/11/2019,31/10/2021,2.803217
12SW2B16360 Start Month 1 - 3 Year,SW2,250001,293000,36,01/11/2019,31/10/2022,2.831225
12SW2B16360 Start Month 1 - 4 Year,SW2,250001,293000,48,01/11/2019,31/10/2023,2.854249
12SW2B16360 Start Month 1 - 5 Year,SW2,250001,293000,60,01/11/2019,31/10/2024,2.86331
12SW2B16360 Start Month 10 - 1 Year,SW2,250001,293000,12,01/08/2020,31/07/2021,2.889768
12SW2B16360 Start Month 10 - 2 Year,SW2,250001,293000,24,01/08/2020,31/07/2022,2.894246
12SW2B16360 Start Month 10 - 3 Year,SW2,250001,293000,36,01/08/2020,31/07/2023,2.904519
12SW2B16360 Start Month 10 - 4 Year,SW2,250001,293000,48,01/08/2020,31/07/2024,2.900708
12SW2B16360 Start Month 10 - 5 Year,SW2,250001,293000,60,01/08/2020,31/07/2025,2.853238
12SW2B16360 Start Month 11 - 1 Year,SW2,250001,293000,12,01/09/2020,31/08/2021,2.893341
12SW2B16360 Start Month 11 - 2 Year,SW2,250001,293000,24,01/09/2020,31/08/2022,2.897847
12SW2B16360 Start Month 11 - 3 Year,SW2,250001,293000,36,01/09/2020,31/08/2023,2.908019
12SW2B16360 Start Month 11 - 4 Year,SW2,250001,293000,48,01/09/2020,31/08/2024,2.904319
12SW2B16360 Start Month 11 - 5 Year,SW2,250001,293000,60,01/09/2020,31/08/2025,2.82988
12SW2B16360 Start Month 12 - 1 Year,SW2,250001,293000,12,01/10/2020,30/09/2021,2.895591
12SW2B16360 Start Month 12 - 2 Year,SW2,250001,293000,24,01/10/2020,30/09/2022,2.899501
12SW2B16360 Start Month 12 - 3 Year,SW2,250001,293000,36,01/10/2020,30/09/2023,2.909764
12SW2B16360 Start Month 12 - 4 Year,SW2,250001,293000,48,01/10/2020,30/09/2024,2.907617
12SW2B16360 Start Month 12 - 5 Year,SW2,250001,293000,60,01/10/2020,30/09/2025,2.818963
12SW2B16360 Start Month 2 - 1 Year,SW2,250001,293000,12,01/12/2019,30/11/2020,2.784696
12SW2B16360 Start Month 2 - 2 Year,SW2,250001,293000,24,01/12/2019,30/11/2021,2.831358
12SW2B16360 Start Month 2 - 3 Year,SW2,250001,293000,36,01/12/2019,30/11/2022,2.852536
12SW2B16360 Start Month 2 - 4 Year,SW2,250001,293000,48,01/12/2019,30/11/2023,2.872833
12SW2B16360 Start Month 2 - 5 Year,SW2,250001,293000,60,01/12/2019,30/11/2024,2.880379
12SW2B16360 Start Month 3 - 1 Year,SW2,250001,293000,12,01/01/2020,31/12/2020,2.808163
12SW2B16360 Start Month 3 - 2 Year,SW2,250001,293000,24,01/01/2020,31/12/2021,2.849538
12SW2B16360 Start Month 3 - 3 Year,SW2,250001,293000,36,01/01/2020,31/12/2022,2.865161
12SW2B16360 Start Month 3 - 4 Year,SW2,250001,293000,48,01/01/2020,31/12/2023,2.886102
12SW2B16360 Start Month 3 - 5 Year,SW2,250001,293000,60,01/01/2020,31/12/2024,2.893638
12SW2B16360 Start Month 4 - 1 Year,SW2,250001,293000,12,01/02/2020,31/01/2021,2.826277
12SW2B16360 Start Month 4 - 2 Year,SW2,250001,293000,24,01/02/2020,31/01/2022,2.859802
12SW2B16360 Start Month 4 - 3 Year,SW2,250001,293000,36,01/02/2020,31/01/2023,2.874453
12SW2B16360 Start Month 4 - 4 Year,SW2,250001,293000,48,01/02/2020,31/01/2024,2.895798
12SW2B16360 Start Month 4 - 5 Year,SW2,250001,293000,60,01/02/2020,31/01/2025,2.90115
12SW2B16360 Start Month 5 - 1 Year,SW2,250001,293000,12,01/03/2020,28/02/2021,2.841929
12SW2B16360 Start Month 5 - 2 Year,SW2,250001,293000,24,01/03/2020,28/02/2022,2.867753
12SW2B16360 Start Month 5 - 3 Year,SW2,250001,293000,36,01/03/2020,28/02/2023,2.881725
12SW2B16360 Start Month 5 - 4 Year,SW2,250001,293000,48,01/03/2020,29/02/2024,2.904916
12SW2B16360 Start Month 5 - 5 Year,SW2,250001,293000,60,01/03/2020,28/02/2025,2.908387
12SW2B16360 Start Month 6 - 1 Year,SW2,250001,293000,12,01/04/2020,31/03/2021,2.866974
12SW2B16360 Start Month 6 - 2 Year,SW2,250001,293000,24,01/04/2020,31/03/2022,2.880441
12SW2B16360 Start Month 6 - 3 Year,SW2,250001,293000,36,01/04/2020,31/03/2023,2.891825
12SW2B16360 Start Month 6 - 4 Year,SW2,250001,293000,48,01/04/2020,31/03/2024,2.914915
12SW2B16360 Start Month 6 - 5 Year,SW2,250001,293000,60,01/04/2020,31/03/2025,2.916202
12SW2B16360 Start Month 7 - 1 Year,SW2,250001,293000,12,01/05/2020,30/04/2021,2.875597
12SW2B16360 Start Month 7 - 2 Year,SW2,250001,293000,24,01/05/2020,30/04/2022,2.886264
12SW2B16360 Start Month 7 - 3 Year,SW2,250001,293000,36,01/05/2020,30/04/2023,2.89559
12SW2B16360 Start Month 7 - 4 Year,SW2,250001,293000,48,01/05/2020,30/04/2024,2.91994
12SW2B16360 Start Month 7 - 5 Year,SW2,250001,293000,60,01/05/2020,30/04/2025,2.907747
12SW2B16360 Start Month 8 - 1 Year,SW2,250001,293000,12,01/06/2020,31/05/2021,2.878857
12SW2B16360 Start Month 8 - 2 Year,SW2,250001,293000,24,01/06/2020,31/05/2022,2.888423
12SW2B16360 Start Month 8 - 3 Year,SW2,250001,293000,36,01/06/2020,31/05/2023,2.8991
12SW2B16360 Start Month 8 - 4 Year,SW2,250001,293000,48,01/06/2020,31/05/2024,2.92219
12SW2B16360 Start Month 8 - 5 Year,SW2,250001,293000,60,01/06/2020,31/05/2025,2.896941
12SW2B16360 Start Month 9 - 1 Year,SW2,250001,293000,12,01/07/2020,30/06/2021,2.884488
12SW2B16360 Start Month 9 - 2 Year,SW2,250001,293000,24,01/07/2020,30/06/2022,2.890885
12SW2B16360 Start Month 9 - 3 Year,SW2,250001,293000,36,01/07/2020,30/06/2023,2.901552
12SW2B16360 Start Month 9 - 4 Year,SW2,250001,293000,48,01/07/2020,30/06/2024,2.912295
12SW2B16360 Start Month 9 - 5 Year,SW2,250001,293000,60,01/07/2020,30/06/2025,2.875356
12SW3B16360 Start Month 1 - 1 Year,SW3,250001,293000,12,01/11/2019,31/10/2020,2.756951
12SW3B16360 Start Month 1 - 2 Year,SW3,250001,293000,24,01/11/2019,31/10/2021,2.815667
12SW3B16360 Start Month 1 - 3 Year,SW3,250001,293000,36,01/11/2019,31/10/2022,2.842435
12SW3B16360 Start Month 1 - 4 Year,SW3,250001,293000,48,01/11/2019,31/10/2023,2.865459
12SW3B16360 Start Month 1 - 5 Year,SW3,250001,293000,60,01/11/2019,31/10/2024,2.87452
12SW3B16360 Start Month 10 - 1 Year,SW3,250001,293000,12,01/08/2020,31/07/2021,2.899738
12SW3B16360 Start Month 10 - 2 Year,SW3,250001,293000,24,01/08/2020,31/07/2022,2.904216
12SW3B16360 Start Month 10 - 3 Year,SW3,250001,293000,36,01/08/2020,31/07/2023,2.914479
12SW3B16360 Start Month 10 - 4 Year,SW3,250001,293000,48,01/08/2020,31/07/2024,2.910678
12SW3B16360 Start Month 10 - 5 Year,SW3,250001,293000,60,01/08/2020,31/07/2025,2.861958
12SW3B16360 Start Month 11 - 1 Year,SW3,250001,293000,12,01/09/2020,31/08/2021,2.903301
12SW3B16360 Start Month 11 - 2 Year,SW3,250001,293000,24,01/09/2020,31/08/2022,2.907817
12SW3B16360 Start Month 11 - 3 Year,SW3,250001,293000,36,01/09/2020,31/08/2023,2.917979
12SW3B16360 Start Month 11 - 4 Year,SW3,250001,293000,48,01/09/2020,31/08/2024,2.914279
12SW3B16360 Start Month 11 - 5 Year,SW3,250001,293000,60,01/09/2020,31/08/2025,2.83984
12SW3B16360 Start Month 12 - 1 Year,SW3,250001,293000,12,01/10/2020,30/09/2021,2.905561
12SW3B16360 Start Month 12 - 2 Year,SW3,250001,293000,24,01/10/2020,30/09/2022,2.909461
12SW3B16360 Start Month 12 - 3 Year,SW3,250001,293000,36,01/10/2020,30/09/2023,2.919734
12SW3B16360 Start Month 12 - 4 Year,SW3,250001,293000,48,01/10/2020,30/09/2024,2.917577
12SW3B16360 Start Month 12 - 5 Year,SW3,250001,293000,60,01/10/2020,30/09/2025,2.828933
12SW3B16360 Start Month 2 - 1 Year,SW3,250001,293000,12,01/12/2019,30/11/2020,2.798396
12SW3B16360 Start Month 2 - 2 Year,SW3,250001,293000,24,01/12/2019,30/11/2021,2.843818
12SW3B16360 Start Month 2 - 3 Year,SW3,250001,293000,36,01/12/2019,30/11/2022,2.863746
12SW3B16360 Start Month 2 - 4 Year,SW3,250001,293000,48,01/12/2019,30/11/2023,2.884043
12SW3B16360 Start Month 2 - 5 Year,SW3,250001,293000,60,01/12/2019,30/11/2024,2.891589
12SW3B16360 Start Month 3 - 1 Year,SW3,250001,293000,12,01/01/2020,31/12/2020,2.820623
12SW3B16360 Start Month 3 - 2 Year,SW3,250001,293000,24,01/01/2020,31/12/2021,2.860748
12SW3B16360 Start Month 3 - 3 Year,SW3,250001,293000,36,01/01/2020,31/12/2022,2.876371
12SW3B16360 Start Month 3 - 4 Year,SW3,250001,293000,48,01/01/2020,31/12/2023,2.896062
12SW3B16360 Start Month 3 - 5 Year,SW3,250001,293000,60,01/01/2020,31/12/2024,2.904858
12SW3B16360 Start Month 4 - 1 Year,SW3,250001,293000,12,01/02/2020,31/01/2021,2.838727
12SW3B16360 Start Month 4 - 2 Year,SW3,250001,293000,24,01/02/2020,31/01/2022,2.871022
12SW3B16360 Start Month 4 - 3 Year,SW3,250001,293000,36,01/02/2020,31/01/2023,2.885663
12SW3B16360 Start Month 4 - 4 Year,SW3,250001,293000,48,01/02/2020,31/01/2024,2.907008
12SW3B16360 Start Month 4 - 5 Year,SW3,250001,293000,60,01/02/2020,31/01/2025,2.91236
12SW3B16360 Start Month 5 - 1 Year,SW3,250001,293000,12,01/03/2020,28/02/2021,2.853139
12SW3B16360 Start Month 5 - 2 Year,SW3,250001,293000,24,01/03/2020,28/02/2022,2.878963
12SW3B16360 Start Month 5 - 3 Year,SW3,250001,293000,36,01/03/2020,28/02/2023,2.891685
12SW3B16360 Start Month 5 - 4 Year,SW3,250001,293000,48,01/03/2020,29/02/2024,2.914886
12SW3B16360 Start Month 5 - 5 Year,SW3,250001,293000,60,01/03/2020,28/02/2025,2.919597
12SW3B16360 Start Month 6 - 1 Year,SW3,250001,293000,12,01/04/2020,31/03/2021,2.876944
12SW3B16360 Start Month 6 - 2 Year,SW3,250001,293000,24,01/04/2020,31/03/2022,2.890411
12SW3B16360 Start Month 6 - 3 Year,SW3,250001,293000,36,01/04/2020,31/03/2023,2.901785
12SW3B16360 Start Month 6 - 4 Year,SW3,250001,293000,48,01/04/2020,31/03/2024,2.924885
12SW3B16360 Start Month 6 - 5 Year,SW3,250001,293000,60,01/04/2020,31/03/2025,2.927412
12SW3B16360 Start Month 7 - 1 Year,SW3,250001,293000,12,01/05/2020,30/04/2021,2.885557
12SW3B16360 Start Month 7 - 2 Year,SW3,250001,293000,24,01/05/2020,30/04/2022,2.896234
12SW3B16360 Start Month 7 - 3 Year,SW3,250001,293000,36,01/05/2020,30/04/2023,2.90556
12SW3B16360 Start Month 7 - 4 Year,SW3,250001,293000,48,01/05/2020,30/04/2024,2.9299
12SW3B16360 Start Month 7 - 5 Year,SW3,250001,293000,60,01/05/2020,30/04/2025,2.917717
12SW3B16360 Start Month 8 - 1 Year,SW3,250001,293000,12,01/06/2020,31/05/2021,2.888827
12SW3B16360 Start Month 8 - 2 Year,SW3,250001,293000,24,01/06/2020,31/05/2022,2.898393
12SW3B16360 Start Month 8 - 3 Year,SW3,250001,293000,36,01/06/2020,31/05/2023,2.90906
12SW3B16360 Start Month 8 - 4 Year,SW3,250001,293000,48,01/06/2020,31/05/2024,2.93216
12SW3B16360 Start Month 8 - 5 Year,SW3,250001,293000,60,01/06/2020,31/05/2025,2.906911
12SW3B16360 Start Month 9 - 1 Year,SW3,250001,293000,12,01/07/2020,30/06/2021,2.893208
12SW3B16360 Start Month 9 - 2 Year,SW3,250001,293000,24,01/07/2020,30/06/2022,2.900845
12SW3B16360 Start Month 9 - 3 Year,SW3,250001,293000,36,01/07/2020,30/06/2023,2.911522
12SW3B16360 Start Month 9 - 4 Year,SW3,250001,293000,48,01/07/2020,30/06/2024,2.922255
12SW3B16360 Start Month 9 - 5 Year,SW3,250001,293000,60,01/07/2020,30/06/2025,2.884076
12WA1B16438 Start Month 1 - 1 Year,WA1,250001,293000,12,01/11/2019,31/10/2020,2.794862
12WA1B16438 Start Month 1 - 2 Year,WA1,250001,293000,24,01/11/2019,31/10/2021,2.850684
12WA1B16438 Start Month 1 - 3 Year,WA1,250001,293000,36,01/11/2019,31/10/2022,2.876
12WA1B16438 Start Month 1 - 4 Year,WA1,250001,293000,48,01/11/2019,31/10/2023,2.897784
12WA1B16438 Start Month 1 - 5 Year,WA1,250001,293000,60,01/11/2019,31/10/2024,2.906138
12WA1B16438 Start Month 10 - 1 Year,WA1,250001,293000,12,01/08/2020,31/07/2021,2.929904
12WA1B16438 Start Month 10 - 2 Year,WA1,250001,293000,24,01/08/2020,31/07/2022,2.935723
12WA1B16438 Start Month 10 - 3 Year,WA1,250001,293000,36,01/08/2020,31/07/2023,2.945996
12WA1B16438 Start Month 10 - 4 Year,WA1,250001,293000,48,01/08/2020,31/07/2024,2.94169
12WA1B16438 Start Month 10 - 5 Year,WA1,250001,293000,60,01/08/2020,31/07/2025,2.891316
12WA1B16438 Start Month 11 - 1 Year,WA1,250001,293000,12,01/09/2020,31/08/2021,2.933568
12WA1B16438 Start Month 11 - 2 Year,WA1,250001,293000,24,01/09/2020,31/08/2022,2.938185
12WA1B16438 Start Month 11 - 3 Year,WA1,250001,293000,36,01/09/2020,31/08/2023,2.948347
12WA1B16438 Start Month 11 - 4 Year,WA1,250001,293000,48,01/09/2020,31/08/2024,2.94519
12WA1B16438 Start Month 11 - 5 Year,WA1,250001,293000,60,01/09/2020,31/08/2025,2.868996
12WA1B16438 Start Month 12 - 1 Year,WA1,250001,293000,12,01/10/2020,30/09/2021,2.935929
12WA1B16438 Start Month 12 - 2 Year,WA1,250001,293000,24,01/10/2020,30/09/2022,2.939829
12WA1B16438 Start Month 12 - 3 Year,WA1,250001,293000,36,01/10/2020,30/09/2023,2.950203
12WA1B16438 Start Month 12 - 4 Year,WA1,250001,293000,48,01/10/2020,30/09/2024,2.947339
12WA1B16438 Start Month 12 - 5 Year,WA1,250001,293000,60,01/10/2020,30/09/2025,2.85819
12WA1B16438 Start Month 2 - 1 Year,WA1,250001,293000,12,01/12/2019,30/11/2020,2.833514
12WA1B16438 Start Month 2 - 2 Year,WA1,250001,293000,24,01/12/2019,30/11/2021,2.877383
12WA1B16438 Start Month 2 - 3 Year,WA1,250001,293000,36,01/12/2019,30/11/2022,2.89721
12WA1B16438 Start Month 2 - 4 Year,WA1,250001,293000,48,01/12/2019,30/11/2023,2.916065
12WA1B16438 Start Month 2 - 5 Year,WA1,250001,293000,60,01/12/2019,30/11/2024,2.924346
12WA1B16438 Start Month 3 - 1 Year,WA1,250001,293000,12,01/01/2020,31/12/2020,2.855529
12WA1B16438 Start Month 3 - 2 Year,WA1,250001,293000,24,01/01/2020,31/12/2021,2.894111
12WA1B16438 Start Month 3 - 3 Year,WA1,250001,293000,36,01/01/2020,31/12/2022,2.908393
12WA1B16438 Start Month 3 - 4 Year,WA1,250001,293000,48,01/01/2020,31/12/2023,2.927983
12WA1B16438 Start Month 3 - 5 Year,WA1,250001,293000,60,01/01/2020,31/12/2024,2.936264
12WA1B16438 Start Month 4 - 1 Year,WA1,250001,293000,12,01/02/2020,31/01/2021,2.872403
12WA1B16438 Start Month 4 - 2 Year,WA1,250001,293000,24,01/02/2020,31/01/2022,2.903034
12WA1B16438 Start Month 4 - 3 Year,WA1,250001,293000,36,01/02/2020,31/01/2023,2.917584
12WA1B16438 Start Month 4 - 4 Year,WA1,250001,293000,48,01/02/2020,31/01/2024,2.938828
12WA1B16438 Start Month 4 - 5 Year,WA1,250001,293000,60,01/02/2020,31/01/2025,2.943574
12WA1B16438 Start Month 5 - 1 Year,WA1,250001,293000,12,01/03/2020,28/02/2021,2.885262
12WA1B16438 Start Month 5 - 2 Year,WA1,250001,293000,24,01/03/2020,28/02/2022,2.909432
12WA1B16438 Start Month 5 - 3 Year,WA1,250001,293000,36,01/03/2020,28/02/2023,2.923505
12WA1B16438 Start Month 5 - 4 Year,WA1,250001,293000,48,01/03/2020,29/02/2024,2.946605
12WA1B16438 Start Month 5 - 5 Year,WA1,250001,293000,60,01/03/2020,28/02/2025,2.950811
12WA1B16438 Start Month 6 - 1 Year,WA1,250001,293000,12,01/04/2020,31/03/2021,2.907211
12WA1B16438 Start Month 6 - 2 Year,WA1,250001,293000,24,01/04/2020,31/03/2022,2.920779
12WA1B16438 Start Month 6 - 3 Year,WA1,250001,293000,36,01/04/2020,31/03/2023,2.932254
12WA1B16438 Start Month 6 - 4 Year,WA1,250001,293000,48,01/04/2020,31/03/2024,2.956402
12WA1B16438 Start Month 6 - 5 Year,WA1,250001,293000,60,01/04/2020,31/03/2025,2.957275
12WA1B16438 Start Month 7 - 1 Year,WA1,250001,293000,12,01/05/2020,30/04/2021,2.915723
12WA1B16438 Start Month 7 - 2 Year,WA1,250001,293000,24,01/05/2020,30/04/2022,2.926501
12WA1B16438 Start Month 7 - 3 Year,WA1,250001,293000,36,01/05/2020,30/04/2023,2.937178
12WA1B16438 Start Month 7 - 4 Year,WA1,250001,293000,48,01/05/2020,30/04/2024,2.960066
12WA1B16438 Start Month 7 - 5 Year,WA1,250001,293000,60,01/05/2020,30/04/2025,2.948719
12WA1B16438 Start Month 8 - 1 Year,WA1,250001,293000,12,01/06/2020,31/05/2021,2.918993
12WA1B16438 Start Month 8 - 2 Year,WA1,250001,293000,24,01/06/2020,31/05/2022,2.92866
12WA1B16438 Start Month 8 - 3 Year,WA1,250001,293000,36,01/06/2020,31/05/2023,2.939327
12WA1B16438 Start Month 8 - 4 Year,WA1,250001,293000,48,01/06/2020,31/05/2024,2.963667
12WA1B16438 Start Month 8 - 5 Year,WA1,250001,293000,60,01/06/2020,31/05/2025,2.936673
12WA1B16438 Start Month 9 - 1 Year,WA1,250001,293000,12,01/07/2020,30/06/2021,2.923374
12WA1B16438 Start Month 9 - 2 Year,WA1,250001,293000,24,01/07/2020,30/06/2022,2.931213
12WA1B16438 Start Month 9 - 3 Year,WA1,250001,293000,36,01/07/2020,30/06/2023,2.941789
12WA1B16438 Start Month 9 - 4 Year,WA1,250001,293000,48,01/07/2020,30/06/2024,2.951916
12WA1B16438 Start Month 9 - 5 Year,WA1,250001,293000,60,01/07/2020,30/06/2025,2.913333
12WA2B16477 Start Month 1 - 1 Year,WA2,250001,293000,12,01/11/2019,31/10/2020,2.651677
12WA2B16477 Start Month 1 - 2 Year,WA2,250001,293000,24,01/11/2019,31/10/2021,2.722944
12WA2B16477 Start Month 1 - 3 Year,WA2,250001,293000,36,01/11/2019,31/10/2022,2.755942
12WA2B16477 Start Month 1 - 4 Year,WA2,250001,293000,48,01/11/2019,31/10/2023,2.780216
12WA2B16477 Start Month 1 - 5 Year,WA2,250001,293000,60,01/11/2019,31/10/2024,2.788964
12WA2B16477 Start Month 10 - 1 Year,WA2,250001,293000,12,01/08/2020,31/07/2021,2.825594
12WA2B16477 Start Month 10 - 2 Year,WA2,250001,293000,24,01/08/2020,31/07/2022,2.830072
12WA2B16477 Start Month 10 - 3 Year,WA2,250001,293000,36,01/08/2020,31/07/2023,2.840345
12WA2B16477 Start Month 10 - 4 Year,WA2,250001,293000,48,01/08/2020,31/07/2024,2.834991
12WA2B16477 Start Month 10 - 5 Year,WA2,250001,293000,60,01/08/2020,31/07/2025,2.789809
12WA2B16477 Start Month 11 - 1 Year,WA2,250001,293000,12,01/09/2020,31/08/2021,2.829167
12WA2B16477 Start Month 11 - 2 Year,WA2,250001,293000,24,01/09/2020,31/08/2022,2.833774
12WA2B16477 Start Month 11 - 3 Year,WA2,250001,293000,36,01/09/2020,31/08/2023,2.842696
12WA2B16477 Start Month 11 - 4 Year,WA2,250001,293000,48,01/09/2020,31/08/2024,2.837251
12WA2B16477 Start Month 11 - 5 Year,WA2,250001,293000,60,01/09/2020,31/08/2025,2.768931
12WA2B16477 Start Month 12 - 1 Year,WA2,250001,293000,12,01/10/2020,30/09/2021,2.832768
12WA2B16477 Start Month 12 - 2 Year,WA2,250001,293000,24,01/10/2020,30/09/2022,2.835428
12WA2B16477 Start Month 12 - 3 Year,WA2,250001,293000,36,01/10/2020,30/09/2023,2.844552
12WA2B16477 Start Month 12 - 4 Year,WA2,250001,293000,48,01/10/2020,30/09/2024,2.840549
12WA2B16477 Start Month 12 - 5 Year,WA2,250001,293000,60,01/10/2020,30/09/2025,2.759375
12WA2B16477 Start Month 2 - 1 Year,WA2,250001,293000,12,01/12/2019,30/11/2020,2.697155
12WA2B16477 Start Month 2 - 2 Year,WA2,250001,293000,24,01/12/2019,30/11/2021,2.754926
12WA2B16477 Start Month 2 - 3 Year,WA2,250001,293000,36,01/12/2019,30/11/2022,2.778594
12WA2B16477 Start Month 2 - 4 Year,WA2,250001,293000,48,01/12/2019,30/11/2023,2.80129
12WA2B16477 Start Month 2 - 5 Year,WA2,250001,293000,60,01/12/2019,30/11/2024,2.808634
12WA2B16477 Start Month 3 - 1 Year,WA2,250001,293000,12,01/01/2020,31/12/2020,2.725703
12WA2B16477 Start Month 3 - 2 Year,WA2,250001,293000,24,01/01/2020,31/12/2021,2.775707
12WA2B16477 Start Month 3 - 3 Year,WA2,250001,293000,36,01/01/2020,31/12/2022,2.793921
12WA2B16477 Start Month 3 - 4 Year,WA2,250001,293000,48,01/01/2020,31/12/2023,2.814761
12WA2B16477 Start Month 3 - 5 Year,WA2,250001,293000,60,01/01/2020,31/12/2024,2.823244
12WA2B16477 Start Month 4 - 1 Year,WA2,250001,293000,12,01/02/2020,31/01/2021,2.750451
12WA2B16477 Start Month 4 - 2 Year,WA2,250001,293000,24,01/02/2020,31/01/2022,2.789812
12WA2B16477 Start Month 4 - 3 Year,WA2,250001,293000,36,01/02/2020,31/01/2023,2.805602
12WA2B16477 Start Month 4 - 4 Year,WA2,250001,293000,48,01/02/2020,31/01/2024,2.826947
12WA2B16477 Start Month 4 - 5 Year,WA2,250001,293000,60,01/02/2020,31/01/2025,2.831794
12WA2B16477 Start Month 5 - 1 Year,WA2,250001,293000,12,01/03/2020,28/02/2021,2.772232
12WA2B16477 Start Month 5 - 2 Year,WA2,250001,293000,24,01/03/2020,28/02/2022,2.800344
12WA2B16477 Start Month 5 - 3 Year,WA2,250001,293000,36,01/03/2020,28/02/2023,2.815364
12WA2B16477 Start Month 5 - 4 Year,WA2,250001,293000,48,01/03/2020,29/02/2024,2.837315
12WA2B16477 Start Month 5 - 5 Year,WA2,250001,293000,60,01/03/2020,28/02/2025,2.840382
12WA2B16477 Start Month 6 - 1 Year,WA2,250001,293000,12,01/04/2020,31/03/2021,2.804252
12WA2B16477 Start Month 6 - 2 Year,WA2,250001,293000,24,01/04/2020,31/03/2022,2.817719
12WA2B16477 Start Month 6 - 3 Year,WA2,250001,293000,36,01/04/2020,31/03/2023,2.827853
12WA2B16477 Start Month 6 - 4 Year,WA2,250001,293000,48,01/04/2020,31/03/2024,2.849602
12WA2B16477 Start Month 6 - 5 Year,WA2,250001,293000,60,01/04/2020,31/03/2025,2.850576
12WA2B16477 Start Month 7 - 1 Year,WA2,250001,293000,12,01/05/2020,30/04/2021,2.812673
12WA2B16477 Start Month 7 - 2 Year,WA2,250001,293000,24,01/05/2020,30/04/2022,2.822201
12WA2B16477 Start Month 7 - 3 Year,WA2,250001,293000,36,01/05/2020,30/04/2023,2.831527
12WA2B16477 Start Month 7 - 4 Year,WA2,250001,293000,48,01/05/2020,30/04/2024,2.853377
12WA2B16477 Start Month 7 - 5 Year,WA2,250001,293000,60,01/05/2020,30/04/2025,2.84203
12WA2B16477 Start Month 8 - 1 Year,WA2,250001,293000,12,01/06/2020,31/05/2021,2.815933
12WA2B16477 Start Month 8 - 2 Year,WA2,250001,293000,24,01/06/2020,31/05/2022,2.824249
12WA2B16477 Start Month 8 - 3 Year,WA2,250001,293000,36,01/06/2020,31/05/2023,2.833676
12WA2B16477 Start Month 8 - 4 Year,WA2,250001,293000,48,01/06/2020,31/05/2024,2.856877
12WA2B16477 Start Month 8 - 5 Year,WA2,250001,293000,60,01/06/2020,31/05/2025,2.832464
12WA2B16477 Start Month 9 - 1 Year,WA2,250001,293000,12,01/07/2020,30/06/2021,2.820314
12WA2B16477 Start Month 9 - 2 Year,WA2,250001,293000,24,01/07/2020,30/06/2022,2.826812
12WA2B16477 Start Month 9 - 3 Year,WA2,250001,293000,36,01/07/2020,30/06/2023,2.836239
